2022-04-15,EXPENDITURE,51,CREDIT,26467
2022-04-17,EXPENDITURE,320,RETREAT,26147
2022-04-17,EXPENDITURE,2500,RETREAT,23647
2022-04-18,EXPENDITURE,215,SUPPER,23432
2022-04-20,EXPENDITURE,100,KINYOZI,23332
2022-04-20,EXPENDITURE,40,LUNCH,23292
2022-04-20,EXPENDITURE,135,BREAKFAST,23157
2022-04-21,EXPENDITURE,51,CREDIT,23106
2022-04-21,EXPENDITURE,340,TRANSPORT,22766
2022-04-21,EXPENDITURE,150,TRANSPORT,22616
2022-04-21,EXPENDITURE,760,TRANSPORT,21856
2022-04-21,EXPENDITURE,1080,BREAKFAST,20776
2022-04-21,EXPENDITURE,494,CSR,20282
2022-04-21,EXPENDITURE,220,TRANSPORT,20062
2022-04-21,INCOME,13000,FORMODE,33062
2022-04-21,EXPENDITURE,1000,WITHDRAWN,32062
2022-02-21,EXPENDITURE,28,WITHDRAWN,32034
2022-04-22,EXPENDITURE,150,SUPPER,31884
2022-04-23,EXPENDITURE,51,CREDIT,31833
2022-04-23,EXPENDITURE,150,SUPPER,31683
2022-04-23,EXPENDITURE,55,BREAKFAST,31628
2022-04-24,EXPENDITURE,20,CREDIT,31608
2022-04-24,EXPENDITURE,190,SUPPER,31418
2022-04-24,EXPENDITURE,65,BREAKFAST,31353
2022-04-25,EXPENDITURE,55,SUPPER,31298
2022-04-25,EXPENDITURE,115,BREAKFAST,31183
2022-04-26,EXPENDITURE,200,SUPPER,30983
2022-04-26,EXPENDITURE,20,SUPPER,30963
2022-04-26,EXPENDITURE,60,BREAKFAST,30903
2022-04-27,EXPENDITURE,90,SUPPER,30813
2022-04-28,EXPENDITURE,90,SUPPER,30723
2022-04-28,EXPENDITURE,85,BREAKFAST,30638
2022-04-29,EXPENDITURE,51,CREDIT,30587
2022-04-30,EXPENDITURE,51,CREDIT,30536
2022-04-30,EXPENDITURE,50,LUNCH,30486
2022-04-30,EXPENDITURE,51,CREDIT,30435
2022-04-30,EXPENDITURE,850,RETREAT,29585
2022-05-01,EXPENDITURE,700,WITHDRAWN,28885
2022-05-01,EXPENDITURE,1034,THANKSGIVING,27851
2022-01-05,EXPENDITURE,550,SHOPPING,27301
2022-05-01,EXPENDITURE,51,CREDIT,27250
2022-05-02,EXPENDITURE,51,CREDIT,27199
2022-05-02,EXPENDITURE,527,WITHDRAWN,26672
2022-05-03,EXPENDITURE,51,CREDIT,26621
2022-05-04,EXPENDITURE,40,LUNCH,26581
2022-05-04,EXPENDITURE,200,SUPPER,26381
2022-05-04,EXPENDITURE,55,BREAKFAST,26326
2022-05-04,EXPENDITURE,51,CREDIT,26275
2022-05-05,EXPENDITURE,51,CREDIT,26224
2022-05-05,EXPENDITURE,2500,HEALTHCARE,23724
2022-05-05,EXPENDITURE,500,WITHDRAWN,23224
2022-05-05,EXPENDITURE,270,RETREAT,22954
2022-05-05,INCOME,2185,FORMODE,25139
2022-05-05,EXPENDITURE,70,TRANSPORT,25069
2022-05-05,EXPENDITURE,5,CREDIT,25064
2022-05-06,EXPENDITURE,100,SUPPER,24964
2022-05-07,EXPENDITURE,31,CREDIT,24933
2022-05-07,EXPENDITURE,430,SUPPER,24503
2022-05-07,EXPENDITURE,325,HEALTHCARE,24178
2022-05-07,EXPENDITURE,191,BREAKFAST,23987
2022-05-08,EXPENDITURE,35,SUPPER,23952
2022-05-08,EXPENDITURE,55,BREAKFAST,23897
2022-05-09,EXPENDITURE,235,BREAKFAST,23662
2022-05-09,EXPENDITURE,51,CREDIT,23611
2022-05-10,EXPENDITURE,31,CREDIT,23580
2022-05-10,EXPENDITURE,5000,HEALTHCARE,18580
2022-05-11,EXPENDITURE,160,SUPPER,18420
2022-05-11,EXPENDITURE,55,BREAKFAST,18365
2022-05-12,EXPENDITURE,60,LUNCH,18305
2022-05-13,EXPENDITURE,700,CLOTHES,17605
2022-05-13,EXPENDITURE,31,CREDIT,17574
2022-05-13,EXPENDITURE,50,SUPPER,17524
2022-05-13,EXPENDITURE,220,SUPPER,17304
2022-05-14,EXPENDITURE,500,SUPPER,16804
2022-05-14,EXPENDITURE,120,BREAKFAST,16684
2022-05-14,EXPENDITURE,100,SUPPER,16584
2022-04-15,EXPENDITURE,1500,WITHDRAWN,15084
2022-05-15,EXPENDITURE,200,LUNCH,14884
2022-05-15,EXPENDITURE,266,SUPPER,14618
2022-05-16,EXPENDITURE,51,CREDIT,14567
2022-05-17,EXPENDITURE,300,SUPPER,14267
2022-05-18,EXPENDITURE,90,LUNCH,14177
2022-05-18,EXPENDITURE,30,SUPPER,14147
2022-05-18,EXPENDITURE,146,SUPPER,14001
2022-05-19,EXPENDITURE,51,CREDIT,13950
2022-05-20,EXPENDITURE,430,SUPPER,13520
2022-05-21,EXPENDITURE,31,CREDIT,13489
